3a10. Overview milkings today 16/12/2020 15:28:24
443,23,1,16/12/2020 13:36:00,7.5,8.3,390,1
356,9935,1,16/12/2020 13:45:04,9.2,9.5,450,1
511,97,1,16/12/2020 13:49:54,3.7,8.4,210,1
355,105,1,16/12/2020 13:54:41,5.2,8.8,200,1
177,34,1,16/12/2020 14:01:38,6.6,10.3,330,1
539,117,1,16/12/2020 14:09:00,7.9,9.6,400,1
350,123,1,16/12/2020 14:15:42,5.9,10.0,280,1
468,33,1,16/12/2020 14:27:00,9.4,8.7,570,1
557,9902,1,16/12/2020 14:33:27,10.7,10.4,340,1
390,74,1,16/12/2020 14:42:01,3.8,8.8,350,1
383,124,1,16/12/2020 14:47:31,8.0,8.5,240,1
169,67,1,16/12/2020 14:54:31,11.5,9.6,320,1
358,100,1,16/12/2020 15:00:58,4.5,8.2,300,1
531,62,1,16/12/2020 15:06:51,1.1,7.1,260,1
311,52,1,16/12/2020 15:14:25,5.4,10.4,310,1
386,9905,1,16/12/2020 15:20:40,5.6,8.4,240,1
