3a17. Last milk time off all milkcows 16/12/2020 15:32:08
915,2,9949,7,231,-,-,-,-
946,-,-,6,424,-,-,-,-
603,2,9961,1,292,-,-,-,-
43,2,12,5,436,-,-,-,-
73,-,-,8,1226,-,-,-,-
23,-,-,4,1201,-,-,-,-
90,-,9940,5,429,-,-,-,-
660,-,-,6,1171,-,-,-,-
661,-,-,6,1465,-,-,-,-
610,2,8,1,284,-,-,-,-
604,2,71,2,292,-,-,-,-
71,2,9904,5,452,-,-,-,-
359,-,-,2,614,-,-,-,-
366,2,1,2,560,-,-,-,-
291,-,125,3,661,-,-,-,-
354,-,-,3,388,-,-,-,-
367,-,-,3,279,-,-,-,-
211,2,20,5,257,-,-,-,-
376,-,-,2,651,-,-,-,-
368,-,-,1,1142,-,-,-,-
279,-,-,3,836,-,-,-,-
351,2,-,2,824,-,-,-,-
330,-,-,1,1153,-,-,-,-
332,-,-,1,1044,-,-,-,-
317,2,38,4,263,-,-,-,-
328,-,-,2,774,-,-,-,-
308,-,-,2,1048,-,-,-,-
346,-,9911,3,436,-,-,-,-
295,-,-,2,1017,-,-,-,-
344,-,-,3,463,-,-,-,-
345,-,6,1,701,-,-,-,-
379,-,-,2,628,-,-,-,-
185,-,-,4,425,-,-,-,-
182,2,996,4,404,-,-,-,-
486,2,101,2,501,-,-,-,-
488,2,967,2,278,-,-,-,-
170,2,2,5,247,-,-,-,-
527,2,89,1,534,-,-,-,-
109,-,-,4,850,-,-,-,-
167,-,-,3,1212,-,-,-,-
163,2,65,4,403,-,-,-,-
484,2,969,2,282,-,-,-,-
394,-,-,2,656,-,-,-,-
202,2,3,4,388,-,-,-,-
382,2,9923,3,273,-,-,-,-
389,2,9966,3,264,-,-,-,-
437,2,128,2,242,-,-,-,-
190,-,-,3,1107,-,-,-,-
187,-,88,5,260,-,-,-,-
195,2,10,5,404,-,-,-,-
454,-,-,1,797,-,-,-,-
