3b02. Total milk production for the last 20 days 16/12/2020 15:37:52
28/11/2020,60,2,0,1,1,3.5,211,11.3
28/11/2020,57,2,0,2,0,15.6,771,12.0
28/11/2020,211,3,0,3,0,9.1,722,10.9
28/11/2020,383,2,2,0,0,17.3,552,9.2
28/11/2020,584,2,1,1,0,16.3,800,8.3
28/11/2020,968,2,2,0,0,16.5,889,10.6
28/11/2020,63,3,3,0,0,21.9,1080,9.1
28/11/2020,208,3,0,2,1,9.4,735,10.2
28/11/2020,402,3,3,0,0,26.9,936,9.2
28/11/2020,355,3,3,0,0,18.4,604,9.2
28/11/2020,356,3,3,0,0,22.7,1149,9.2
28/11/2020,524,2,0,2,0,19.3,1140,8.4
28/11/2020,516,3,3,0,0,22.6,960,9.3
28/11/2020,348,3,3,0,0,33.9,1219,9.8
28/11/2020,53,2,2,0,0,17.2,722,9.2
28/11/2020,347,2,0,2,0,11.2,795,10.3
28/11/2020,311,2,2,0,0,10.5,516,11.7
28/11/2020,557,4,0,4,0,16.6,960,9.8
28/11/2020,254,3,3,0,0,25.9,1100,9.2
28/11/2020,83,4,0,4,0,12.6,940,9.2
28/11/2020,195,2,1,1,0,3.9,424,10.2
28/11/2020,519,2,2,0,0,24.6,615,9.3
28/11/2020,447,3,3,0,0,27.1,1002,9.3
28/11/2020,386,4,0,3,1,17.1,1364,9.1
28/11/2020,382,1,1,0,0,5.5,203,9.1
28/11/2020,531,5,0,4,1,12.6,1288,8.1
28/11/2020,535,3,3,0,0,28.5,903,9.9
28/11/2020,350,2,2,0,0,18.3,805,10.2
29/11/2020,532,1,1,0,0,16.4,919,8.4
29/11/2020,254,3,3,0,0,28.0,852,9.2
29/11/2020,600,2,0,2,0,16.6,957,8.7
29/11/2020,531,4,0,4,0,12.6,780,8.2
29/11/2020,497,3,3,0,0,20.0,1079,8.8
29/11/2020,557,4,0,4,0,17.2,1269,9.8
29/11/2020,312,2,2,0,0,17.5,712,8.4
29/11/2020,516,3,3,0,0,21.8,841,9.3
29/11/2020,307,4,4,0,0,32.2,1714,8.7
29/11/2020,519,3,3,0,0,28.7,833,9.8
29/11/2020,311,2,2,0,0,10.3,567,11.7
29/11/2020,511,4,0,2,2,11.5,1122,9.1
29/11/2020,281,3,3,0,0,33.7,1054,9.8
29/11/2020,535,1,1,0,0,28.4,789,9.6
29/11/2020,278,3,3,0,0,26.5,990,9.2
29/11/2020,504,2,2,0,0,16.5,675,10.3
29/11/2020,539,4,4,0,0,29.6,1469,8.9
29/11/2020,503,2,0,1,1,5.9,596,10.3
29/11/2020,524,2,1,1,0,20.6,1327,8.4
29/11/2020,177,2,2,0,0,14.6,715,10.3
29/11/2020,584,1,1,0,0,16.1,600,8.1
29/11/2020,297,1,0,1,0,12.8,380,8.7
29/11/2020,319,2,2,0,0,17.9,770,10.0
29/11/2020,208,3,0,2,1,10.6,704,10.2
29/11/2020,300,2,2,0,0,11.8,522,11.4
29/11/2020,523,2,2,0,0,23.8,744,9.6
29/11/2020,443,2,2,0,0,20.3,903,8.4
29/11/2020,353,2,2,0,0,20.3,936,8.4
29/11/2020,447,4,3,0,1,30.2,1146,13.8
29/11/2020,402,3,3,0,0,27.1,1129,9.1
29/11/2020,63,3,3,0,0,24.2,1035,9.3
29/11/2020,83,4,0,3,1,14.0,944,9.2
29/11/2020,468,3,0,3,0,18.9,1112,9.6
29/11/2020,347,1,1,0,0,11.7,567,10.3
29/11/2020,479,2,2,0,0,20.6,1003,9.2
29/11/2020,350,3,2,0,1,20.1,896,10.2
29/11/2020,348,3,3,0,0,34.8,1058,9.9
29/11/2020,355,3,3,0,0,18.5,654,9.3
29/11/2020,968,2,2,0,0,16.9,996,10.6
29/11/2020,26,3,3,0,0,24.8,868,8.8
29/11/2020,973,2,1,1,0,16.0,883,10.3
29/11/2020,370,4,2,2,0,21.8,1090,8.9
29/11/2020,383,2,1,0,1,18.5,526,9.2
29/11/2020,56,3,0,2,1,11.6,1269,12.3
29/11/2020,390,3,0,3,0,17.4,1190,10.9
29/11/2020,358,4,4,0,0,19.1,1104,9.3
29/11/2020,952,3,3,0,0,29.3,924,9.5
29/11/2020,57,2,0,1,1,3.1,220,9.5
29/11/2020,356,3,3,0,0,23.1,1200,8.9
29/11/2020,386,2,0,2,0,17.0,903,9.3
29/11/2020,53,2,2,0,0,17.9,742,9.5
29/11/2020,487,3,2,1,0,25.4,1104,9.1
29/11/2020,169,2,2,0,0,50.1,1327,8.9
29/11/2020,493,2,2,0,0,22.0,728,8.4
29/11/2020,337,3,3,0,0,40.8,1081,9.5
29/11/2020,166,3,2,1,0,29.3,941,9.1
30/11/2020,390,4,0,4,0,18.3,1140,9.6
30/11/2020,952,4,4,0,0,30.8,1038,9.5
30/11/2020,319,2,2,0,0,18.5,759,10.0
30/11/2020,56,2,0,2,0,15.1,1209,11.7
30/11/2020,557,3,0,3,0,16.5,901,9.1
30/11/2020,53,3,3,0,0,19.5,834,9.2
30/11/2020,531,3,0,3,0,12.8,613,7.9
30/11/2020,358,3,3,0,0,17.8,1068,8.7
30/11/2020,177,2,2,0,0,14.9,704,10.0
30/11/2020,503,2,0,2,0,6.1,567,12.5
30/11/2020,297,2,0,2,0,12.0,464,8.5
30/11/2020,166,4,3,1,0,26.6,919,8.9
30/11/2020,584,2,0,2,0,16.5,795,8.4
30/11/2020,524,3,3,0,0,22.2,1412,8.3
30/11/2020,208,3,0,3,0,10.9,692,9.6
30/11/2020,402,2,2,0,0,28.2,940,9.5
30/11/2020,356,3,3,0,0,24.6,1217,9.1
30/11/2020,355,2,2,0,0,19.1,636,9.2
30/11/2020,487,3,2,1,0,22.7,1212,8.6
30/11/2020,278,4,4,0,0,28.2,1110,9.3
30/11/2020,281,2,2,0,0,26.5,826,9.1
30/11/2020,493,3,2,1,0,22.0,869,9.1
30/11/2020,535,3,3,0,0,30.5,968,10.2
30/11/2020,169,2,2,0,0,52.8,1461,8.9
30/11/2020,370,2,2,0,0,19.2,972,8.6
30/11/2020,973,2,0,2,0,17.8,912,10.4
30/11/2020,539,3,3,0,0,28.8,1340,8.6
30/11/2020,383,3,3,0,0,18.7,521,8.8
30/11/2020,532,2,1,1,0,15.4,1117,8.4
30/11/2020,386,4,0,4,0,18.0,1042,8.6
