5a16. Wait time, Milk/Feed Last month 16/12/2020 16:47:46
17/11/2020,535,30.2,8000,7944
17/11/2020,604,14.1,5000,4522
17/11/2020,370,22.5,5800,5818
17/11/2020,348,33.3,7600,7492
17/11/2020,531,13.2,4000,4023
17/11/2020,177,12.9,4200,2578
17/11/2020,493,22.4,8000,8006
17/11/2020,468,17.3,8000,7781
17/11/2020,600,18.5,9000,9064
17/11/2020,347,9.8,3500,2598
17/11/2020,317,10.6,4200,3711
17/11/2020,519,27.2,5600,5592
17/11/2020,311,11.0,4000,3021
17/11/2020,952,26.6,6000,5990
17/11/2020,511,10.9,7400,7573
17/11/2020,584,16.3,8000,5220
17/11/2020,581,9.9,4000,2696
17/11/2020,57,17.2,8000,7959
17/11/2020,557,13.9,9000,6354
17/11/2020,355,17.9,4400,4351
17/11/2020,195,8.3,2000,1367
17/11/2020,208,7.6,3800,3701
17/11/2020,386,15.6,4200,4110
17/11/2020,56,8.3,4200,2286
17/11/2020,356,25.9,6200,6234
17/11/2020,300,13.2,4000,3703
17/11/2020,516,20.5,8000,7152
17/11/2020,402,28.2,8000,7876
17/11/2020,523,22.7,8000,6332
17/11/2020,524,19.8,8000,7615
17/11/2020,63,22.8,8000,7920
17/11/2020,60,8.7,4100,1658
17/11/2020,358,19.2,4800,4733
17/11/2020,211,8.7,3600,3629
17/11/2020,390,19.7,4600,4585
17/11/2020,307,28.1,8000,8020
17/11/2020,504,16.6,8000,7654
17/11/2020,312,16.6,4300,4241
17/11/2020,586,11.7,5000,4263
17/11/2020,53,18.5,4200,4117
17/11/2020,948,6.5,2000,1966
18/11/2020,468,19.0,8000,7214
18/11/2020,355,18.6,4400,4439
18/11/2020,600,18.0,9000,8990
18/11/2020,177,12.6,4200,2295
18/11/2020,523,21.5,8000,5882
18/11/2020,311,10.2,4000,3959
18/11/2020,347,9.9,3500,3264
18/11/2020,516,22.1,8000,6264
18/11/2020,307,32.4,8000,7984
18/11/2020,370,21.0,5700,5722
18/11/2020,57,11.8,8000,4289
18/11/2020,337,36.0,8000,8047
18/11/2020,604,15.3,5000,5012
18/11/2020,584,14.3,8000,6721
18/11/2020,211,9.7,3600,3576
18/11/2020,358,20.7,4900,4889
18/11/2020,166,23.9,5800,5708
18/11/2020,535,28.7,8000,7450
18/11/2020,519,25.8,5800,5729
18/11/2020,952,26.0,6200,6214
18/11/2020,539,24.6,7200,7150
18/11/2020,208,12.0,3800,2678
18/11/2020,356,25.7,6100,6026
18/11/2020,487,22.6,5500,5500
18/11/2020,281,35.4,8000,7993
18/11/2020,581,7.7,4000,3183
18/11/2020,390,20.6,4600,4631
18/11/2020,169,44.2,10800,8475
18/11/2020,973,16.8,4600,2879
18/11/2020,479,19.1,8000,7301
18/11/2020,56,12.5,4100,3138
18/11/2020,531,12.2,4000,4031
18/11/2020,319,13.8,4500,3990
18/11/2020,386,15.1,4100,3864
18/11/2020,968,19.2,4600,4566
18/11/2020,195,7.9,2000,1098
18/11/2020,447,28.3,5900,5926
18/11/2020,312,18.0,4400,4283
18/11/2020,382,16.3,4200,4211
18/11/2020,557,12.6,9000,4839
18/11/2020,350,21.9,5400,5070
18/11/2020,497,18.1,8000,8028
18/11/2020,443,20.3,8000,7991
18/11/2020,317,13.9,4200,3382
18/11/2020,524,23.6,8000,7953
18/11/2020,297,12.3,4100,2438
18/11/2020,26,24.6,6000,5918
18/11/2020,383,17.7,4600,3766
18/11/2020,504,16.2,8000,7211
18/11/2020,503,5.9,8000,3942
