3a06. Milk control report for screen/printer 16/12/2020 15:22:41
177,UK145128101177,14/12/2020 13:43:43,Ok,8.4,-,-,13.7
177,UK145128101177,14/12/2020 23:11:20,Ok,6.1,-,-,13.7
177,UK145128101177,15/12/2020 11:31:32,Ok,7.7,-,-,13.7
177,UK145128101177,15/12/2020 20:30:19,Ok,4.7,-,-,13.7
177,UK145128101177,16/12/2020 04:18:24,Ok,4.0,-,-,13.7
177,UK145128101177,16/12/2020 14:01:38,Ok,6.6,-,-,13.7
240,UK145128101240,13/12/2020 06:06:55,Ok,11.0,-,-,38.7
240,UK145128101240,13/12/2020 13:03:25,Ok,8.7,-,-,38.7
240,UK145128101240,13/12/2020 20:58:59,Ok,13.8,-,-,38.7
240,UK145128101240,14/12/2020 03:08:03,Ok,9.6,-,-,38.7
240,UK145128101240,14/12/2020 10:12:09,Ok,12.1,-,-,38.7
240,UK145128101240,14/12/2020 17:08:59,Ok,11.4,-,-,38.7
240,UK145128101240,15/12/2020 00:52:32,Ok,12.4,-,-,38.7
240,UK145128101240,15/12/2020 07:04:08,Ok,10.3,-,-,38.7
240,UK145128101240,15/12/2020 13:38:52,Ok,11.0,-,-,38.7
240,UK145128101240,15/12/2020 20:45:22,Ok,10.6,-,-,38.7
240,UK145128101240,16/12/2020 05:31:38,Ok,14.4,-,-,38.7
240,UK145128101240,16/12/2020 12:40:04,Ok,12.0,-,-,38.7
254,UK145128101254,13/12/2020 00:58:52,Ok,9.8,-,-,32.3
254,UK145128101254,13/12/2020 07:11:24,Ok,8.8,-,-,32.3
254,UK145128101254,13/12/2020 13:43:27,Ok,8.6,-,-,32.3
254,UK145128101254,13/12/2020 21:15:23,Ok,9.6,-,-,32.3
254,UK145128101254,14/12/2020 03:27:47,Ok,8.2,-,-,32.3
254,UK145128101254,14/12/2020 11:24:08,Ok,10.1,-,-,32.3
254,UK145128101254,14/12/2020 19:47:48,Ok,12.0,-,-,32.3
254,UK145128101254,15/12/2020 02:26:05,Ok,9.3,-,-,32.3
254,UK145128101254,15/12/2020 10:36:58,Ok,11.8,-,-,32.3
254,UK145128101254,15/12/2020 18:25:12,Ok,10.2,-,-,32.3
254,UK145128101254,16/12/2020 00:31:34,Ok,5.7,-,-,32.3
254,UK145128101254,16/12/2020 08:44:38,Ok,13.9,-,-,32.3
259,UK145128601259,13/12/2020 15:17:56,Ok,17.2,-,-,23.4
259,UK145128601259,14/12/2020 01:12:47,Ok,9.1,-,-,23.4
259,UK145128601259,14/12/2020 13:55:46,Ok,11.7,-,-,23.4
259,UK145128601259,14/12/2020 23:27:05,Ok,9.6,-,-,23.4
259,UK145128601259,15/12/2020 14:29:51,Ok,15.1,-,-,23.4
259,UK145128601259,15/12/2020 23:48:45,Ok,8.7,-,-,23.4
259,UK145128601259,16/12/2020 10:18:36,Ok,10.5,-,-,23.4
