5b04. Total dispensed feed for the last 10 days 16/12/2020 16:54:50
06/12/2020,973,4.2,4500,1208,-,-
06/12/2020,4,-,800,-,-,-
06/12/2020,370,19.9,4700,4757,-,-
06/12/2020,376,-,3000,-,-,-
06/12/2020,369,-,3000,-,-,-
06/12/2020,968,15.8,4400,3963,-,-
06/12/2020,26,26.2,5800,5410,-,-
06/12/2020,382,-,4000,-,-,-
06/12/2020,368,-,500,-,-,-
06/12/2020,379,-,3200,-,-,-
06/12/2020,969,-,1000,-,-,-
06/12/2020,23,-,500,-,-,-
06/12/2020,921,-,3700,-,-,-
07/12/2020,487,19.7,5200,4457,-,-
07/12/2020,337,38.6,8000,7744,-,-
07/12/2020,202,-,3200,-,-,-
07/12/2020,26,25.0,5800,5790,-,-
07/12/2020,586,-,5000,-,-,-
07/12/2020,195,-,2000,-,-,-
07/12/2020,190,-,1500,-,-,-
07/12/2020,593,-,9000,-,-,-
07/12/2020,963,-,1000,-,-,-
07/12/2020,382,-,4000,-,-,-
07/12/2020,590,-,9000,-,-,-
07/12/2020,486,-,4000,-,-,-
07/12/2020,330,-,3000,-,-,-
07/12/2020,211,-,3700,-,-,-
07/12/2020,368,-,500,-,-,-
07/12/2020,240,34.8,4100,4142,-,-
07/12/2020,23,-,500,-,-,-
07/12/2020,581,-,4000,-,-,-
07/12/2020,584,16.5,8000,6117,-,-
07/12/2020,968,15.7,4400,3913,-,-
07/12/2020,585,-,9000,-,-,-
07/12/2020,332,-,4000,-,-,-
07/12/2020,488,-,8000,-,-,-
07/12/2020,71,-,3000,-,-,-
07/12/2020,208,-,3800,-,-,-
07/12/2020,955,-,4000,-,-,-
07/12/2020,917,-,1000,-,-,-
07/12/2020,600,-,9000,-,-,-
07/12/2020,383,17.5,4500,4183,-,-
07/12/2020,346,-,8000,-,-,-
07/12/2020,177,12.8,4100,3291,-,-
07/12/2020,603,-,9000,-,-,-
07/12/2020,347,10.7,4000,2343,-,-
07/12/2020,169,43.4,12000,11990,-,-
07/12/2020,468,18.4,8000,8050,-,-
07/12/2020,53,18.4,4600,4134,-,-
07/12/2020,170,-,3000,-,-,-
07/12/2020,599,-,4000,-,-,-
07/12/2020,595,-,4000,-,-,-
07/12/2020,484,-,8000,-,-,-
07/12/2020,43,-,3000,-,-,-
07/12/2020,344,-,7400,-,-,-
07/12/2020,187,-,5200,-,-,-
07/12/2020,356,23.2,5700,5719,-,-
07/12/2020,598,-,3000,-,-,-
07/12/2020,479,20.4,8000,7480,-,-
07/12/2020,182,-,3300,-,-,-
07/12/2020,345,-,9000,-,-,-
07/12/2020,185,-,3000,-,-,-
07/12/2020,367,-,3800,-,-,-
07/12/2020,921,-,3700,-,-,-
07/12/2020,311,8.7,3800,2870,-,-
07/12/2020,295,-,3000,-,-,-
07/12/2020,296,-,4100,-,-,-
07/12/2020,973,-,4500,-,-,-
07/12/2020,531,12.0,4000,4010,-,-
07/12/2020,376,-,3000,-,-,-
07/12/2020,291,-,3200,-,-,-
07/12/2020,535,20.2,8000,4929,-,-
07/12/2020,8,-,3000,-,-,-
07/12/2020,532,15.8,5800,5815,-,-
07/12/2020,511,11.2,7400,7367,-,-
07/12/2020,516,19.2,8000,6979,-,-
07/12/2020,307,29.9,8000,8009,-,-
07/12/2020,300,11.1,4000,3863,-,-
07/12/2020,524,20.7,8000,7712,-,-
07/12/2020,63,23.0,8000,7938,-,-
07/12/2020,523,22.7,8000,6350,-,-
07/12/2020,4,-,800,-,-,-
07/12/2020,297,13.6,4000,2791,-,-
07/12/2020,358,18.9,4600,4632,-,-
07/12/2020,527,-,1000,-,-,-
07/12/2020,519,27.6,6500,6208,-,-
07/12/2020,370,19.7,4700,4645,-,-
07/12/2020,308,-,3000,-,-,-
07/12/2020,259,20.9,4300,4150,-,-
07/12/2020,379,-,3200,-,-,-
07/12/2020,552,-,4000,-,-,-
07/12/2020,550,-,4000,-,-,-
07/12/2020,918,-,500,-,-,-
07/12/2020,319,21.0,4700,4483,-,-
07/12/2020,254,31.5,5800,5773,-,-
07/12/2020,557,12.0,9000,4539,-,-
