3b07. Cows with highest milk production 16/12/2020 15:43:50
60,60,3,6,248,-,-,DRUMBEAT
457,457,-,2,249,-,-,OWNBULL
484,,2,2,282,-,-,
486,heart,2,2,501,-,-,MEL
91,91,-,5,631,-,-,DRAGON
359,359,-,2,614,-,-,EXCEL
366,366,2,2,560,-,-,NANSEN
351,1,2,2,824,-,-,CLASSIC
92,92,-,5,405,-,-,MELODY
354,354,-,3,388,-,-,CURTIS
90,90,-,5,429,-,-,DRAGON
376,376,-,2,651,-,-,CRICKET
379,379,-,2,628,-,-,CRICKET
367,367,-,3,279,-,-,NANSEN
368,368,-,1,1142,-,-,RANSOM
369,369,2,3,241,-,-,CRICKET
